     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella  67 16:51:44  -179859.350807       0.1710       0.0000       0.0024       0.7706
Sella  68 17:01:32  -179859.351075       0.1265       0.0000       0.0024       0.4386
Sella  69 17:11:03  -179859.352766       0.1399       0.0000       0.0024       0.9257
Sella  70 17:20:48  -179859.354160       0.1159       0.0000       0.0024       0.8130
Sella  71 17:30:23  -179859.355089       0.1225       0.0000       0.0024       0.8588
Sella  72 17:40:04  -179859.356901       0.1051       0.0000       0.0024       0.8152
Sella  73 17:49:50  -179859.358256       0.0915       0.0000       0.0024       0.7634
Sella  74 17:59:27  -179859.358897       0.1084       0.0000       0.0024       0.8646
Sella  75 18:09:01  -179859.359646       0.0992       0.0000       0.0024       0.7641
     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella   0 16:01:22  -179859.359645       0.0905       0.0000       0.1000       1.0000
Sella   1 03:47:56  -179859.209462       0.9260       0.0000       0.0650      -0.0027
Sella   2 03:57:31  -179859.183599       1.4920       0.0000       0.0423      -0.0014
Sella   3 04:07:17  -179859.151758       1.3689       0.0000       0.0275      -0.0035
Sella   4 04:17:01  -179859.160975       1.1046       0.0000       0.0179       0.0025
Sella   5 04:26:46  -179859.163927       1.1089       0.0000       0.0116       0.0014
Sella   6 04:36:25  -179859.172038       0.9407       0.0000       0.0075       0.0231
Sella   7 04:46:05  -179859.174970       0.8984       0.0000       0.0049       0.0095
Sella   8 04:55:45  -179859.181608       0.7938       0.0000       0.0032       0.0639
Sella   9 05:05:30  -179859.185527       0.7272       0.0000       0.0021       0.0797
Sella  10 05:15:09  -179859.189726       0.6828       0.0000       0.0013       0.1921
Sella  11 05:24:49  -179859.193097       0.6232       0.0000       0.0013       0.4115
Sella  12 05:34:35  -179859.196294       0.5970       0.0000       0.0013       0.4091
Sella  13 05:44:20  -179859.199100       0.5767       0.0000       0.0013       0.3707
Sella  14 05:54:07  -179859.202082       0.5718       0.0000       0.0013       0.3708
Sella  15 06:03:52  -179859.204991       0.5711       0.0000       0.0013       0.5534
Sella  16 06:13:32  -179859.207785       0.5400       0.0000       0.0013       0.3612
Sella  17 06:23:20  -179859.210895       0.5477       0.0000       0.0013       0.3544
Sella  18 06:32:56  -179859.213876       0.5287       0.0000       0.0013       0.5959
Sella  19 06:42:58  -179859.216833       0.5395       0.0000       0.0013       0.4615
